No,ErrorCode,Name,Action,Image,Name_En,Action_En,Name_Ch,Action_Ch,Name_Kr,Action_Kr
120,310099,STAGE_1_CHUCK_TABLE_PCW_NOT_ON_ERROR,"Table PCW Open/Close 가 비정상임
 - X0040 : CHUCK TABLE PCW ON CHECK (GAUGE)
 - X0041 : CHUCK TABLE PCW OFF CHECK (GAUGE)",,,,,,,"Table PCW Open/Close 가 비정상임
 - X0040 : CHUCK TABLE PCW ON CHECK (GAUGE)
 - X0041 : CHUCK TABLE PCW OFF CHECK (GAUGE)"
121,310100,STAGE_1_CHUCK_TABLE_PCW_FLOW_NOT_ON_ERROR,"Table PCW Open/Close 가 비정상임
 - Flow meter 확인 필요",,,,,,,"Table PCW Open/Close 가 비정상임
 - Flow meter 확인 필요"
122,310101,STAGE_1_DRESS_PCW_NOT_ON_ERROR,"Dress PCW Open/Close 가 비정상임
 - X0042 : DRESS SPINDLE PCW ON CHECK (GAUGE)
 - X0043 : DRESS SPINDLE PCW OFF CHECK (GAUGE)",,,,,,,"Dress PCW Open/Close 가 비정상임
 - X0042 : DRESS SPINDLE PCW ON CHECK (GAUGE)
 - X0043 : DRESS SPINDLE PCW OFF CHECK (GAUGE)"
123,310102,STAGE_1_DRESS_PCW_NOT_ON_FLOW_ERROR,"Dress PCW Open/Close 가 비정상임
 - Flow meter 확인 필요",,,,,,,"Dress PCW Open/Close 가 비정상임
 - Flow meter 확인 필요"
124,310103,STAGE_1_WHEEL_SPINDLE_PCW_NOT_ON_ERROR,"Wheel PCW Open/Close 가 비정상임
 - X0044 : WHEEL SPINDLE PCW ON CHECK (GAUGE)
 - X0045 : WHEEL SPINDLE PCW OFF CHECK (GAUGE)",,,,,,,"Wheel PCW Open/Close 가 비정상임
 - X0044 : WHEEL SPINDLE PCW ON CHECK (GAUGE)
 - X0045 : WHEEL SPINDLE PCW OFF CHECK (GAUGE)"
125,310104,STAGE_1_WHEEL_SPINDLE_PCW_FLOW_NOT_ON_ERROR,"Wheel PCW Open/Close 가 비정상임
 - Flow meter 확인 필요",,,,,,,"Wheel PCW Open/Close 가 비정상임
 - Flow meter 확인 필요"
126,310105,STAGE_1_PCW_OFF_ERROR,,,,,,,,
127,310106,STAGE_1_PCW_TEMP_RANGEOVER_ERROR,"PCW 온도가 비정상임
 - Flow meter 확인 필요",,,,,,,"PCW 온도가 비정상임
 - Flow meter 확인 필요"
128,310107,STAGE_1_DIW1_TEMP_RANGEOVER_ERROR,"DIW 1 온도가 비정상임
 - Flow meter 확인 필요",,,,,,,"DIW 1 온도가 비정상임
 - Flow meter 확인 필요"
129,310108,STAGE_1_DIW2_TEMP_RANGEOVER_ERROR,"DIW 2 온도가 비정상임
 - Flow meter 확인 필요",,,,,,,"DIW 2 온도가 비정상임
 - Flow meter 확인 필요"
130,310109,STAGE_1_TABLE_VACUUM_8_INCH_NOT_ON_ERROR,"Table 8"" Vacuum in 되지 않음
 - X0034 : CHUCK TABLE VACCUM #1  (12/8) ON CHECK (GAUGE)
 - X0035 : CHUCK TABLE VACCUM #1  (12/8) OFF CHECK (GAUGE)
 - X0036 : CHUCK TABLE VACCUM #2  (12/8) ON CHECK (GAUGE)
 - X0037 : CHUCK TABLE VACCUM #2  (12/8) OFF CHECK (GAUGE)
 - Y0032 : CHUCK TABLE 8""_VACUUM ON
 - Y0033 : CHUCK TABLE 8""_WATER ON
 - Y0034 : CHUCK TABLE 8""_AIR BLOW ON
 - Y0035 : CHUCK TABLE 12""_VACUUM ON
 - Y0036 : CHUCK TABLE 12""_WATER ON
 - Y0037 : CHUCK TABLE 12""_AIR BLOW ON",,,,,,,"Table 8"" Vacuum in 되지 않음
 - X0034 : CHUCK TABLE VACCUM #1  (12/8) ON CHECK (GAUGE)
 - X0035 : CHUCK TABLE VACCUM #1  (12/8) OFF CHECK (GAUGE)
 - X0036 : CHUCK TABLE VACCUM #2  (12/8) ON CHECK (GAUGE)
 - X0037 : CHUCK TABLE VACCUM #2  (12/8) OFF CHECK (GAUGE)
 - Y0032 : CHUCK TABLE 8""_VACUUM ON
 - Y0033 : CHUCK TABLE 8""_WATER ON
 - Y0034 : CHUCK TABLE 8""_AIR BLOW ON
 - Y0035 : CHUCK TABLE 12""_VACUUM ON
 - Y0036 : CHUCK TABLE 12""_WATER ON
 - Y0037 : CHUCK TABLE 12""_AIR BLOW ON"
131,310110,STAGE_1_TABLE_VACUUM_8_INCH_NOT_OFF_ERROR,"Table 8"" Vacuum in 되지 않음
 - X0034 : CHUCK TABLE VACCUM #1  (12/8) ON CHECK (GAUGE)
 - X0035 : CHUCK TABLE VACCUM #1  (12/8) OFF CHECK (GAUGE)
 - X0036 : CHUCK TABLE VACCUM #2  (12/8) ON CHECK (GAUGE)
 - X0037 : CHUCK TABLE VACCUM #2  (12/8) OFF CHECK (GAUGE)
 - Y0032 : CHUCK TABLE 8""_VACUUM ON
 - Y0033 : CHUCK TABLE 8""_WATER ON
 - Y0034 : CHUCK TABLE 8""_AIR BLOW ON
 - Y0035 : CHUCK TABLE 12""_VACUUM ON
 - Y0036 : CHUCK TABLE 12""_WATER ON
 - Y0037 : CHUCK TABLE 12""_AIR BLOW ON",,,,,,,"Table 8"" Vacuum in 되지 않음
 - X0034 : CHUCK TABLE VACCUM #1  (12/8) ON CHECK (GAUGE)
 - X0035 : CHUCK TABLE VACCUM #1  (12/8) OFF CHECK (GAUGE)
 - X0036 : CHUCK TABLE VACCUM #2  (12/8) ON CHECK (GAUGE)
 - X0037 : CHUCK TABLE VACCUM #2  (12/8) OFF CHECK (GAUGE)
 - Y0032 : CHUCK TABLE 8""_VACUUM ON
 - Y0033 : CHUCK TABLE 8""_WATER ON
 - Y0034 : CHUCK TABLE 8""_AIR BLOW ON
 - Y0035 : CHUCK TABLE 12""_VACUUM ON
 - Y0036 : CHUCK TABLE 12""_WATER ON
 - Y0037 : CHUCK TABLE 12""_AIR BLOW ON"
132,310111,STAGE_1_TABLE_VACUUM_12_INCH_NOT_ON_ERROR,"Table 8"" Vacuum in 되지 않음
 - X0034 : CHUCK TABLE VACCUM #1  (12/8) ON CHECK (GAUGE)
 - X0035 : CHUCK TABLE VACCUM #1  (12/8) OFF CHECK (GAUGE)
 - X0036 : CHUCK TABLE VACCUM #2  (12/8) ON CHECK (GAUGE)
 - X0037 : CHUCK TABLE VACCUM #2  (12/8) OFF CHECK (GAUGE)
 - Y0032 : CHUCK TABLE 8""_VACUUM ON
 - Y0033 : CHUCK TABLE 8""_WATER ON
 - Y0034 : CHUCK TABLE 8""_AIR BLOW ON
 - Y0035 : CHUCK TABLE 12""_VACUUM ON
 - Y0036 : CHUCK TABLE 12""_WATER ON
 - Y0037 : CHUCK TABLE 12""_AIR BLOW ON",,,,,,,"Table 8"" Vacuum in 되지 않음
 - X0034 : CHUCK TABLE VACCUM #1  (12/8) ON CHECK (GAUGE)
 - X0035 : CHUCK TABLE VACCUM #1  (12/8) OFF CHECK (GAUGE)
 - X0036 : CHUCK TABLE VACCUM #2  (12/8) ON CHECK (GAUGE)
 - X0037 : CHUCK TABLE VACCUM #2  (12/8) OFF CHECK (GAUGE)
 - Y0032 : CHUCK TABLE 8""_VACUUM ON
 - Y0033 : CHUCK TABLE 8""_WATER ON
 - Y0034 : CHUCK TABLE 8""_AIR BLOW ON
 - Y0035 : CHUCK TABLE 12""_VACUUM ON
 - Y0036 : CHUCK TABLE 12""_WATER ON
 - Y0037 : CHUCK TABLE 12""_AIR BLOW ON"
133,310112,STAGE_1_TABLE_VACUUM_12_INCH_NOT_OFF_ERROR,"Table 8"" Vacuum in 되지 않음
 - X0034 : CHUCK TABLE VACCUM #1  (12/8) ON CHECK (GAUGE)
 - X0035 : CHUCK TABLE VACCUM #1  (12/8) OFF CHECK (GAUGE)
 - X0036 : CHUCK TABLE VACCUM #2  (12/8) ON CHECK (GAUGE)
 - X0037 : CHUCK TABLE VACCUM #2  (12/8) OFF CHECK (GAUGE)
 - Y0032 : CHUCK TABLE 8""_VACUUM ON
 - Y0033 : CHUCK TABLE 8""_WATER ON
 - Y0034 : CHUCK TABLE 8""_AIR BLOW ON
 - Y0035 : CHUCK TABLE 12""_VACUUM ON
 - Y0036 : CHUCK TABLE 12""_WATER ON
 - Y0037 : CHUCK TABLE 12""_AIR BLOW ON",,,,,,,"Table 8"" Vacuum in 되지 않음
 - X0034 : CHUCK TABLE VACCUM #1  (12/8) ON CHECK (GAUGE)
 - X0035 : CHUCK TABLE VACCUM #1  (12/8) OFF CHECK (GAUGE)
 - X0036 : CHUCK TABLE VACCUM #2  (12/8) ON CHECK (GAUGE)
 - X0037 : CHUCK TABLE VACCUM #2  (12/8) OFF CHECK (GAUGE)
 - Y0032 : CHUCK TABLE 8""_VACUUM ON
 - Y0033 : CHUCK TABLE 8""_WATER ON
 - Y0034 : CHUCK TABLE 8""_AIR BLOW ON
 - Y0035 : CHUCK TABLE 12""_VACUUM ON
 - Y0036 : CHUCK TABLE 12""_WATER ON
 - Y0037 : CHUCK TABLE 12""_AIR BLOW ON"
134,310113,STAGE_1_FRONT_NOZZLE_NOT_OPEN_ERROR,"Grind Front Nozzle Open 이 비정상임.
 - Y0040 : GRIND FRONT WORK CLEAN NOZZLE ON (INNER)",,,,,,,"Grind Front Nozzle Open 이 비정상임.
 - Y0040 : GRIND FRONT WORK CLEAN NOZZLE ON (INNER)"
135,310114,STAGE_1_FRONT_NOZZLE_NOT_CLOSE_ERROR,"Grind Front Nozzle Open 이 비정상임.
 - Y0040 : GRIND FRONT WORK CLEAN NOZZLE ON (INNER)",,,,,,,"Grind Front Nozzle Open 이 비정상임.
 - Y0040 : GRIND FRONT WORK CLEAN NOZZLE ON (INNER)"
136,310115,STAGE_1_REAR_NOZZLE_NOT_OPEN_ERROR,"Grind Rear Nozzle Open 이 비정상임.
 - Y0041 : GRIND REAR WORK CLEAN NOZZLE ON (ADDITIONAL)",,,,,,,"Grind Rear Nozzle Open 이 비정상임.
 - Y0041 : GRIND REAR WORK CLEAN NOZZLE ON (ADDITIONAL)"
137,310116,STAGE_1_REAR_NOZZLE_NOT_CLOSE_ERROR,"Grind Rear Nozzle Open 이 비정상임.
 - Y0041 : GRIND REAR WORK CLEAN NOZZLE ON (ADDITIONAL)",,,,,,,"Grind Rear Nozzle Open 이 비정상임.
 - Y0041 : GRIND REAR WORK CLEAN NOZZLE ON (ADDITIONAL)"
138,310117,STAGE_1_HIGH_PRESSURE_NOZZLE_NOT_OPEN_ERROR,"Grind Rear High Pressure Open 이 비정상임.
 - Y0042 : GRIND WHEEL TIP CLEAN NOZZLE ON (HIGH PRESSURE) RELAY",,,,,,,"Grind Rear High Pressure Open 이 비정상임.
 - Y0042 : GRIND WHEEL TIP CLEAN NOZZLE ON (HIGH PRESSURE) RELAY"
139,310118,STAGE_1_HIGH_PRESSURE_NOZZLE_NOT_CLOSE_ERROR,"Grind Rear High Pressure Open 이 비정상임.
 - Y0042 : GRIND WHEEL TIP CLEAN NOZZLE ON (HIGH PRESSURE) RELAY",,,,,,,"Grind Rear High Pressure Open 이 비정상임.
 - Y0042 : GRIND WHEEL TIP CLEAN NOZZLE ON (HIGH PRESSURE) RELAY"
140,310119,STAGE_1_WAFER_LOAD_THICKNESS_LOW_ERROR,"Wafer 측정 두께가 Parameter 의 입력값 보다 0.5[mm] 이상 작을때
 - IPG 측정 값 및 Parameter 입력값 확인 필요",,,,,,,"Wafer 측정 두께가 Parameter 의 입력값 보다 0.5[mm] 이상 작을때
 - IPG 측정 값 및 Parameter 입력값 확인 필요"
141,310120,STAGE_1_WAFER_N_IPGBASE_DIFF_VALUE_LOW_ERROR,"Wafer 와 IPG Base 높이 차이 가 0.5[mm] 이하 일때
 - IPG 측정 값 및 Parameter 입력값 확인 필요",,,,,,,"Wafer 와 IPG Base 높이 차이 가 0.5[mm] 이하 일때
 - IPG 측정 값 및 Parameter 입력값 확인 필요"
142,310121,STAGE_1_WAFER_ERROR,,,,,,,,
143,310122,STAGE_1_WAFER_IS_EXIST,Table clean 진행시 Wafer 가 있는 상황으로 Wafer 제거 후 진행 필요.,,,,,,,Table clean 진행시 Wafer 가 있는 상황으로 Wafer 제거 후 진행 필요.
144,310123,STAGE_1_WAFER_IS_NOT_EXIST,Wafer clean 진행시 Wafer 가 없는 상황으로 Wafer 투입 후 진행 필요.,,,,,,,Wafer clean 진행시 Wafer 가 없는 상황으로 Wafer 투입 후 진행 필요.
145,310124,STAGE_1_REGENERATIVE_RESISTANCE_THERMAL_CHECK_ERROR,"회생저항의 amarl 발생
 - X0013 : Regeerative Registance 온도 CHECK (NC)",,,,,,,"회생저항의 amarl 발생
 - X0013 : Regeerative Registance 온도 CHECK (NC)"
146,310125,STAG1_ERROR_END,,,,,,,,
147,310126,STAG2_ERROR,,,,,,,,
148,310127,STAGE_2_SERVO_ON_TIMEOUT_ERROR,,,,,,,,
149,310128,STAGE_2_HOMING_TIMEOUT_ERROR,,,,,,,,
150,310129,STAGE_2_WARMUP_TIMEOUT_ERROR,,,,,,,,
151,310130,STAGE_2_WAFER_GRINDING_TIMEOUT_ERROR,,,,,,,,
152,310131,STAGE_2_DRESSING_TIMEOUT_ERROR,,,,,,,,
153,310132,STAGE_2_TABLE_GRINDING_TIMEOUT_ERROR,,,,,,,,
154,310133,STAGE_2_WHEEL_ZIG_NOT_CHECK_ERROR,,,,,,,,
155,310134,STAGE_2_WHEEL_TOOLSETTER_ON_ERROR,,,,,,,,
156,310135,STAGE_2_WHEEL_TOOLSETTER_OFF_ERROR,,,,,,,,
157,310136,STAGE_2_WHEEL_TOOLSETTER_DETECT_FIND_LIMIT_ERROR,,,,,,,,
158,310137,STAGE_2_WHEEL_TOOLSETTER_ESCAPE_DOWN_LIMIT_ERROR,,,,,,,,
159,310138,STAGE_2_DRESS_TOOLSETTER_ON_ERROR,,,,,,,,
160,310139,STAGE_2_DRESS_TOOLSETTER_OFF_ERROR,,,,,,,,
161,310140,STAGE_2_DRESS_TOOLSETTER_DETECT_FIND_LIMIT_ERROR,,,,,,,,
162,310141,STAGE_2_DRESS_TOOLSETTER_ESCAPE_DOWN_LIMIT_ERROR,,,,,,,,
163,310142,STAGE_2_PUMP_ERROR,,,,,,,,
164,310143,STAGE_2_PUMP_LOW_ERROR,,,,,,,,
165,310144,STAGE_2_PUMP_HIGH_ERROR,,,,,,,,
166,310145,STAGE_2_PUMP_OVERLOAD_ERROR,,,,,,,,
167,310146,STAGE_2_PUMP_RUN_TIMEOUT,,,,,,,,
168,310147,STAGE_2_ADD_PUMP_RUN_TIMEOUT,,,,,,,,
169,310148,STAGE_2_HIGH_PUMP_ALARM_ERROR,,,,,,,,
170,310149,STAGE_2_HIGH_PUMP_RUN_TIMEOUT,,,,,,,,
171,310150,STAGE_2_WATER_ERROR,,,,,,,,
172,310151,STAGE_2_TABLE_WATER_NOT_ON_ERROR,,,,,,,,
173,310152,STAGE_2_TABLE_WATER_NOT_OFF_ERROR,,,,,,,,
174,310153,STAGE_2_EJECT_ON_CHECK_ERROR,,,,,,,,
175,310154,STAGE_2_EJECT_OFF_CHECK_ERROR,,,,,,,,
176,310155,STAGE_2_VAC_ON_CHECK_ERROR,,,,,,,,
177,310156,STAGE_2_VAC_OFF_CHECK_ERROR,,,,,,,,
178,310157,STAGE_2_CLEAN_ERROR,,,,,,,,
179,310158,STAGE_2_TOPCLEAN_AIRKNIFE_NOT_ON_ERROR,,,,,,,,
180,310159,STAGE_2_TOPCLEAN_AIRKNIFE_NOT_OFF_ERROR,,,,,,,,
181,310160,STAGE_2_TOPCLEAN_WATER_NOT_ON_ERROR,,,,,,,,
182,310161,STAGE_2_TOPCLEAN_WATER_NOT_OFF_ERROR,,,,,,,,
183,310162,STAGE_2_TOPCLEAN_WATERKNIFE_NOT_ON_ERROR,,,,,,,,
184,310163,STAGE_2_TOPCLEAN_WATERKNIFE_NOT_OFF_ERROR,,,,,,,,
185,310164,STAGE_2_WHEEL_CLEAN_ERROR,,,,,,,,
186,310165,STAGE_2_WATER_NOT_ON_CHECK_ERROR,,,,,,,,
187,310166,STAGE_2_WATER_NOT_OFF_CHECK_ERROR,,,,,,,,
188,310167,STAGE_2_WHEELSPINDLE_COLLANT_NOT_OPEN_ERROR,,,,,,,,
189,310168,STAGE_2_DTS_AIRBLOW_NOT_OPEN_ERROR,,,,,,,,
190,310169,STAGE_2_FRONT_WATERNOZZLE_NOT_OPEN_ERROR,,,,,,,,
191,310170,STAGE_2_REAR_WATERNOZZLE_NOT_OPEN_ERROR,,,,,,,,
192,310171,STAGE_2_WHEELTIP_CLEANNOZZLE_NOT_OPEN_ERROR,,,,,,,,
193,310172,STAGE_2_TABLE_CLEAN_ERROR,,,,,,,,
194,310173,STAGE_2_WAFER_CLEAN_TIMEOUT_ERROR,,,,,,,,
195,310174,STAGE_2_TABLE_CLEAN_TIMEOUT_ERROR,,,,,,,,
196,310175,STAGE_2_WAIT_POSITION_TIMEOUT_ERROR,,,,,,,,
197,310176,STAGE_2_GRIND_Z_AXIS_WORK_POSITION_CALCULATION_ERROR,,,,,,,,
198,310177,STAGE_2_WHEEL_THICKNESS_ERROR,,,,,,,,
199,310178,STAGE_2_WHEEL_THICKNESS_LIMIT_OVER_ERROR,,,,,,,,
200,310179,STAGE_2_WHEEL_NEED_TO_CHANGE_ERROR,,,,,,,,
201,310180,STAGE_2_DRESS_THICKNESS_ERROR,,,,,,,,
202,310181,STAGE_2_DRESSER_THICKNESS_LIMIT_OVER_ERROR,,,,,,,,
203,310182,STAGE_2_DRESSER_NEED_TO_CHANGE_ERROR,,,,,,,,
204,310183,STAGE_2_WHEEL_WAFER_NOT_CONTACT_ERROR,,,,,,,,
205,310184,STAGE_2_RECIPE_ERROR,,,,,,,,
206,310185,STAGE_2_TABLE_RECIPE_GRINDING_LIMIT_OVER_ERROR,,,,,,,,
207,310186,STAGE_2_TABLE_RECIPE_WTS_GAP_SET_LIMIT_ERROR,,,,,,,,
208,310187,STAGE_2_TABLE_RECIPE_DTS_GAP_SET_LIMIT_ERROR,,,,,,,,
209,310188,STAGE_2_DRESS_RECIPE_GRINDING_LIMIT_OVER_ERROR,,,,,,,,
210,310189,STAGE_2_WAFER_TOPDOWN_RECIPE_GRINDING_LIMIT_OVER_ERROR,,,,,,,,
211,310190,STAGE_2_WAFER_TOPDOWN_TOTAL_RECIPE_GRINDING_LIMIT_OVER_ERROR,,,,,,,,
212,310191,STAGE_2_WAFER_TARGET_TOTAL_RECIPE_GRINDING_LIMIT_OVER_ERROR,,,,,,,,
213,310192,STAGE_2_WAFER_TARGET_GRINDING_LIMIT_OVER_ERROR,,,,,,,,
214,310193,STAGE_2_WHEEL_DIAMETER_INFORMATION_ABNORMAL_ERROR,,,,,,,,
215,310194,STAGE_2_DRESSING_WHEEL_LOSS_LOW_ERROR,,,,,,,,
216,310195,STAGE_2_DRESSING_LOSS_LIMIT_OVER_ERROR,,,,,,,,
217,310196,STAGE_2_IPG_ERROR,,,,,,,,
218,310197,STAGE_2_IPG_WATER_NOT_ON_ERROR,,,,,,,,
219,310198,STAGE_2_IPG_WATER_NOT_OFF_ERROR,,,,,,,,
220,310199,STAGE_2_IPG_UP_ERROR,,,,,,,,
221,310200,STAGE_2_IPG_NOT_UP_ERROR,,,,,,,,
222,310201,STAGE_2_IPG_NOT_DOWN_ERROR,,,,,,,,
223,310202,STAGE_2_IPG_DOWN_ERROR,,,,,,,,
224,310203,STAGE_2_IPG_ALARM_ERROR,,,,,,,,
225,310204,STAGE_2_IPG_IBM_UPDOWN_VALUE_INVALID_ERROR,,,,,,,,
226,310205,STAGE_2_IPG_IBM_UP_VALUE_INVALID_ERROR,,,,,,,,
227,310206,STAGE_2_IPG_IBM_DOWN_VALUE_INVALID_ERROR,,,,,,,,
228,310207,STAGE_2_IPG_IBO_UPDOWN_VALUE_INVALID_ERROR,,,,,,,,
229,310208,STAGE_2_IPG_IBO_UP_VALUE_INVALID_ERROR,,,,,,,,
230,310209,STAGE_2_IPG_IBO_DOWN_VALUE_INVALID_ERROR,,,,,,,,
231,310210,STAGE_2_IPG_IBM_TABLE_THICK_LOW_MEASURE_ERROR,,,,,,,,
232,310211,STAGE_2_IPG_IBO_TABLE_THICK_LOW_MEASURE_ERROR,,,,,,,,
233,310212,STAGE_2_FLOWMETER_ERROR,,,,,,,,
234,310213,STAGE_2_WHEEL_SPINDLE_CDA_AIR_01_NOT_ON_ERROR,,,,,,,,
235,310214,STAGE_2_WHEEL_SPINDLE_CDA_AIR_02_NOT_ON_ERROR,,,,,,,,
236,310215,STAGE_2_WHEEL_SPINDLE_CDA_AIR_03_NOT_ON_ERROR,,,,,,,,
237,310216,STAGE_2_WHEEL_SPINDLE_CDA_AIR_01_FLOW_NOT_ON_ERROR,,,,,,,,
238,310217,STAGE_2_WHEEL_SPINDLE_CDA_AIR_02_FLOW_NOT_ON_ERROR,,,,,,,,
239,310218,STAGE_2_WHEEL_SPINDLE_CDA_AIR_03_FLOW_NOT_ON_ERROR,,,,,,,,
240,310219,STAGE_2_CDA_NOT_OPEN_ERROR,,,,,,,,
241,310220,STAGE_2_CDA_NOT_CLOSE_ERROR,,,,,,,,
242,310221,STAGE_2_CDA1_FLOW_NOT_OPEN_ERROR,,,,,,,,
243,310222,STAGE_2_CDA2_FLOW_NOT_OPEN_ERROR,,,,,,,,
244,310223,STAGE_2_CHUCK_TABLE_PCW_NOT_ON_ERROR,,,,,,,,
245,310224,STAGE_2_CHUCK_TABLE_PCW_FLOW_NOT_ON_ERROR,,,,,,,,
246,310225,STAGE_2_DRESS_PCW_NOT_ON_ERROR,,,,,,,,
247,310226,STAGE_2_DRESS_PCW_NOT_ON_FLOW_ERROR,,,,,,,,
248,310227,STAGE_2_WHEEL_SPINDLE_PCW_NOT_ON_ERROR,,,,,,,,
249,310228,STAGE_2_WHEEL_SPINDLE_PCW_FLOW_NOT_ON_ERROR,,,,,,,,
250,310229,STAGE_2_PCW_OFF_ERROR,,,,,,,,
251,310230,STAGE_2_PCW_TEMP_RANGEOVER_ERROR,,,,,,,,
252,310231,STAGE_2_DIW1_TEMP_RANGEOVER_ERROR,,,,,,,,
253,310232,STAGE_2_DIW2_TEMP_RANGEOVER_ERROR,,,,,,,,
254,310233,STAGE_2_TABLE_VACUUM_8_INCH_NOT_ON_ERROR,,,,,,,,
255,310234,STAGE_2_TABLE_VACUUM_8_INCH_NOT_OFF_ERROR,,,,,,,,
256,310235,STAGE_2_TABLE_VACUUM_12_INCH_NOT_ON_ERROR,,,,,,,,
257,310236,STAGE_2_TABLE_VACUUM_12_INCH_NOT_OFF_ERROR,,,,,,,,
258,310237,STAGE_2_FRONT_NOZZLE_NOT_OPEN_ERROR,,,,,,,,
259,310238,STAGE_2_FRONT_NOZZLE_NOT_CLOSE_ERROR,,,,,,,,
260,310239,STAGE_2_REAR_NOZZLE_NOT_OPEN_ERROR,,,,,,,,
261,310240,STAGE_2_REAR_NOZZLE_NOT_CLOSE_ERROR,,,,,,,,
262,310241,STAGE_2_HIGH_PRESSURE_NOZZLE_NOT_OPEN_ERROR,,,,,,,,
263,310242,STAGE_2_HIGH_PRESSURE_NOZZLE_NOT_CLOSE_ERROR,,,,,,,,
264,310243,STAGE_2_WAFER_LOAD_THICKNESS_LOW_ERROR,,,,,,,,
265,310244,STAGE_2_WAFER_N_IPGBASE_DIFF_VALUE_LOW_ERROR,,,,,,,,
266,310245,STAGE_2_WAFER_ERROR,,,,,,,,
267,310246,STAGE_2_WAFER_IS_EXIST,,,,,,,,
268,310247,STAGE_2_WAFER_IS_NOT_EXIST,,,,,,,,
269,310248,STAGE_2_REGENERATIVE_RESISTANCE_THERMAL_CHECK_ERROR,,,,,,,,
270,310249,STAG2_ERROR_END,,,,,,,,
271,310250,EQ_ERROR,,,,,,,,
272,310251,EQ_MOTION_ERROR,,,,,,,,
273,310252,EQ_MOTION_OPEN_ERROR,,,,,,,,
274,310253,EQ_MOTION_CLOSE_ERROR,,,,,,,,
275,310254,EQ_MOTION_NOT_EXIST_CONFIG,,,,,,,,
276,310255,EQ_MOTION_MODULE_IS_NULL,,,,,,,,
277,310256,EQ_MOTION_ML_START_ERROR,,,,,,,,
278,310257,EQ_MOTION_ML_STOP_ERROR,,,,,,,,
279,310258,EQ_MOTION_ML_WAIT_ERROR,,,,,,,,
280,310259,EQ_MOTION_ML_MOVE_ERROR,,,,,,,,
281,310260,EQ_MOTION_ML_TRIGGER_MOVE_ERROR,,,,,,,,
282,310261,EQ_STAG1_SPINDLE_Z_ERROR,,,,,,,,
283,310262,EQ_STAG1_SPINDLE_Z_NOT_HOME_DONE,,,,,,,,
284,310263,EQ_STAG1_SPINDLE_Z_HOME_TIMEOUT,,,,,,,,
285,310264,EQ_STAG1_SPINDLE_Z_NOT_DETECT,,,,,,,,
286,310265,EQ_STAG1_SPINDLE_Z_POT_DETECT,,,,,,,,
287,310266,EQ_STAG1_SPINDLE_Z_SERVO_IS_OFF,,,,,,,,
288,310267,EQ_STAG1_SPINDLE_Z_SERVO_ON_TIMEOUT,,,,,,,,
289,310268,EQ_STAG1_SPINDLE_Z_BUSY,,,,,,,,
290,310269,EQ_STAG1_SPINDLE_Z_ALARM_ON,,,,,,,,
291,310270,EQ_STAG1_SPINDLE_Z_MOVE_TIMEOUT,,,,,,,,
292,310271,EQ_STAG1_SPINDLE_Z_POSITION_GAP,,,,,,,,
293,310272,EQ_STAG1_SPINDLE_Z_POSITION_NEGATIVE_LIMIT,,,,,,,,
294,310273,EQ_STAG1_SPINDLE_Z_POSITION_POSITIVE_LIMIT,,,,,,,,
295,310274,EQ_STAG1_SPINDLE_Z_SET_SERVO,,,,,,,,
296,310275,EQ_STAG1_SPINDLE_Z_SET_CLEAR_ALARM,,,,,,,,
297,310276,EQ_STAG1_SPINDLE_Z_SET_HOME_DONE,,,,,,,,
298,310277,EQ_STAG1_SPINDLE_Z_MOVE_POS_ERROR,,,,,,,,
299,310278,EQ_STAG1_SPINDLE_Z_MOVE_STEP_ERROR,,,,,,,,
300,310279,EQ_STAG1_SPINDLE_Z_MOVE_JOG_ERROR,,,,,,,,
301,310280,EQ_STAG1_SPINDLE_Z_MOVE_HOME_ERROR,,,,,,,,
302,310281,EQ_STAG1_SPINDLE_Z_CANCEL_HOMING_ERROR,,,,,,,,
303,310282,EQ_STAG1_SPINDLE_Z_PAUSE_ERROR,,,,,,,,
304,310283,EQ_STAG1_SPINDLE_Z_RESUME_ERROR,,,,,,,,
305,310284,EQ_STAG1_SPINDLE_Z_STOP_ERROR,,,,,,,,
306,310285,EQ_STAG1_SPINDLE_Z_ESTOP_ERROR,,,,,,,,
307,310286,EQ_STAG1_SPINDLE_Z_WRITE_HOME_PARA,,,,,,,,
308,310287,EQ_STAG1_SPINDLE_Z_MEASURE_LIMIT_ERROR,,,,,,,,
309,310288,EQ_STAG1_SPINDLE_Z_ERROR_END,,,,,,,,
310,310289,EQ_STAG1_DRESS_Z_ERROR,,,,,,,,
311,310290,EQ_STAG1_DRESS_Z_NOT_HOME_DONE,,,,,,,,
312,310291,EQ_STAG1_DRESS_Z_HOME_TIMEOUT,,,,,,,,
313,310292,EQ_STAG1_DRESS_Z_NOT_DETECT,,,,,,,,
314,310293,EQ_STAG1_DRESS_Z_POT_DETECT,,,,,,,,
315,310294,EQ_STAG1_DRESS_Z_SERVO_IS_OFF,,,,,,,,
316,310295,EQ_STAG1_DRESS_Z_SERVO_ON_TIMEOUT,,,,,,,,
317,310296,EQ_STAG1_DRESS_Z_BUSY,,,,,,,,
318,310297,EQ_STAG1_DRESS_Z_ALARM_ON,,,,,,,,
319,310298,EQ_STAG1_DRESS_Z_MOVE_TIMEOUT,,,,,,,,
320,310299,EQ_STAG1_DRESS_Z_POSITION_GAP,,,,,,,,
